TYPE,ID,NAME,CLEARANCE,SPECIALIZATION,EXPERIENCE,DRINK,WORK_NO_CHARGE,FAILURES,SALARY
MEDIC,123456789,Ahmad,HIGH,PARAMEDIC,,,,,12000
MEDIC,987654321,Lina,MEDIUM,NAVIGATOR,,,,,11000
MEDIC,222333444,Omar,LOW,SEARCHER,,,,,10000
MEDIC,333444555,Maya,HIGH,TRAINEE,,,,,9500
MEDIC,555666777,Yousef,MEDIUM,PARAMEDIC,,,,,11500
DISPATCHER,111222333,Sara,MEDIUM,,5,COFFEE,,,9000
DISPATCHER,444555666,Noor,HIGH,,9,WATER,,,10500
DISPATCHER,777888999,Rami,LOW,,2,ENERGY_DRINK,,,8500
DRONE,54321,,HIGH,,,,6.0,1,
DRONE,67890,,LOW,,,,4.0,0,
DRONE,13579,,MEDIUM,,,,5.0,2,
DRONE,24680,,HIGH,,,,8.0,0,
