TYPE,ID,NAME,CLEARANCE,SPECIALIZATION,EXPERIENCE,DRINK,WORK_NO_CHARGE,FAILURES,SALARY
MEDIC,123456789,Ahmad,HIGH,PARAMEDIC,,,,,12000
MEDIC,123456789,Duplicate,HIGH,PARAMEDIC,,,,,12000
MEDIC,12345,BadId,HIGH,PARAMEDIC,,,,,12000
MEDIC,987654321,Lina,VERY_HIGH,NAVIGATOR,,,,,11000
MEDIC,222333444,Omar,LOW,WRONG_SPEC,,,,,10000
DISPATCHER,111222333,Sara,MEDIUM,,abc,COFFEE,,,9000
DISPATCHER,444555666,Noor,HIGH,,9,TEA,,,10500
DRONE,54321,,HIGH,,,,bad,1,
DRONE,67890,,LOW,,,,4.0,x,
CAR,999999999,Wrong,HIGH,,,,,,10000
